Country,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Turkmenistan,4.60627168562475,4.37907625854506,4.73730275911537,4.50768703055272,4.66863745339606
Latin America & the Caribbean (IDA & IBRD countries),-0.548786230114345,-1.16838537058179,0.971941971048508,0.745122620023267,-0.150096980182227
Timor-Leste,0.874639774779823,1.4355266984744,-4.93996280439322,-2.62331202144843,17.211410382627
Middle East & North Africa (IDA & IBRD countries),-1.11861067849171,4.87834364768078,1.1161457963923,-1.06948480635587,-1.12022657680066
Tonga,1.41583317399663,6.18851952679165,2.452312649135,-0.863365350326134,-0.517228592727164
South Asia (IDA & IBRD),6.03166330373584,6.34803142694619,5.31482224129567,5.17880140146161,2.83316200716392
Sub-Saharan Africa (IDA & IBRD countries),0.106374817378168,-1.51522565705605,-0.253685796474556,0.0073218204185394,-0.0768410645230517
Trinidad and Tobago,0.891688877509651,-6.0973259692669,-3.44273320815914,-0.350171817474873,-1.60945212003946
Tunisia,-0.054598177447275,0.0082861647566119,1.08617526745563,1.34297688771908,0.278958759643274
Turkey,4.32812777141611,1.6424634093915,5.79426441255653,1.44952251842886,-0.427943737218101
