Country,GDP_Per_Capita_2015,GDP_Per_Capita_2016,GDP_Per_Capita_2017,GDP_Per_Capita_2018,GDP_Per_Capita_2019,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Germany,41086.7296737253,42107.5172703074,44542.2952040833,47950.1808142041,46794.8992915603,0.617105353219898,1.40810207548923,2.29720604740949,0.782690047310425,0.827864779161388
Djibouti,2658.94924528237,2802.16620395446,2914.35819688602,3141.86171059002,3414.9161775746,5.89435204393692,4.91715159071116,3.73033779991678,6.73190060418814,6.15054746812686
Dominica,7597.28889409255,8080.96862341186,7274.517730717,7687.46296348005,8516.28003895161,-2.80595187225674,2.36664739005607,-6.99897579452575,1.97741396289945,7.29874797406434
Denmark,53254.8563700916,54663.9983719195,57610.0981801135,61591.9288698958,59775.7350964515,1.62216625804921,2.44336887407066,2.16235511316152,1.4850851572351,1.7496140950622
Dominican Republic,6921.52059432776,7280.88361041225,7609.35327534023,8050.64407623416,8282.11713050921,5.71551877791849,5.4686348954891,3.5180711549784,5.83453748755498,3.95840417453633
Algeria,4177.8895415169,3946.45244712537,4109.69821695727,4142.01855842917,3989.66827645236,1.60049369689222,1.10457015563286,-0.750456691887635,-0.909245791015422,-0.934555885396762
East Asia & Pacific (excluding high income),6488.66696825982,6575.514120343,7131.63134907767,7924.23430084574,8145.3454372488,5.86799177010589,5.78276716248109,5.8942762640764,5.81737395376751,5.1711364862513
Early-demographic dividend,3229.29901147662,3257.3919152248,3473.4628607271,3452.37858465588,3503.43973285427,3.04525550386934,3.27925325440341,3.18909081643646,2.33108259021168,0.995396758831475
East Asia & Pacific,9579.47437135492,9845.91417467033,10442.859498698,11297.6018024587,11478.0331318664,3.95913976981777,3.92742919293036,4.31112815066379,4.09018111571852,3.51155498003493
Europe & Central Asia (excluding high income),7557.49969532734,7189.2864598437,8026.77331662083,8213.36006618727,8343.55043110518,0.394147553969376,1.147477850127,3.54859769375892,2.72435232430711,1.85565939695003
Europe & Central Asia,22619.6988407468,22446.1687503424,23670.0797144695,25290.3314474501,24906.4367271277,1.6337005331749,1.49959570744515,2.39839476552328,1.79184549775178,1.4970541774606
Ecuador,6124.49088707134,6060.09296156791,6213.50312736888,6295.93466163992,6222.52465327248,-1.50763431990521,-2.89801879626653,0.573913173998349,-0.483429077922167,-1.65324963404186
"Egypt, Arab Rep.",3562.93265798423,3519.8732398108,2444.29038718448,2537.12518504712,3019.09228346646,2.09373579415812,2.13201530012972,2.02557995113628,3.19442074906497,3.49204687443208
Euro area,34374.4936066099,35139.8235851443,37062.1403612769,40038.1871666259,39188.636538097,1.7540284430689,1.56734835384,2.39252240324952,1.60574397322935,1.47504788990523
Eritrea,,,,,,,,,,
Spain,25732.0183647454,26505.3432155204,28100.5862419453,30349.7520984361,29555.3156985079,3.91576845137082,2.94434855983185,2.73236058269681,1.84175785793946,1.35796294893549
Estonia,17395.040616214,18282.9233927131,20387.2831474612,23052.3012559586,23397.1200148694,1.78627469426176,3.12553830458751,5.66403908236126,3.77202331144019,3.71028576383254
Ethiopia,640.541923075422,717.124869806118,768.523015429372,771.524866349431,855.760885186903,7.39146886281171,6.50971203723924,6.68455961774448,4.0539401511658,5.60436973620631
European Union,30474.4975505606,31168.4360442414,33023.7909043105,35737.3012495528,35083.8074854338,2.0882242112399,1.79216797993213,2.65268775499206,1.89914754810117,1.75286635390606
Fragile and conflict affected situations,1878.71340766632,1656.73597085818,1657.34092532114,1770.23105809572,1828.64933768822,-0.755258962035981,-0.123321530126319,-0.335003939929067,0.485179888214432,0.757932906292424
Finland,42784.6983616432,43784.2839622098,46297.4963459994,49964.4999098426,48628.641762105,0.213029419665261,2.5163798952421,2.95053137282473,1.00788071036347,1.10927871251762
Fiji,5390.71420703085,5651.27272132772,6101.02388950081,6317.41372015123,6175.89065331713,4.23833189405605,2.00247544692745,4.74654991827457,3.10381043650811,-1.16876751454872
France,36638.184929157,37037.3741861219,38685.2584944953,41572.4850099629,40578.6442850534,0.754024352327519,0.829056664516742,1.99499844733441,1.58587880599642,1.62035845279964
Faroe Islands,52400.2972763835,56854.102653706,59993.0906266559,62918.1461936121,64225.2649049837,,,,,
"Micronesia, Fed. Sts.",2906.61701228808,3014.70035839042,3289.64211697365,3568.291015625,3585.39244888455,3.23635458122331,-0.316499162247752,1.53432253315657,-0.837259215875989,0.133812944929986
Gabon,7384.70070393071,6984.41971208387,7230.43491161979,7959.00726736376,7766.99655422948,0.471417196447604,-0.969040474153701,-2.29754116776253,-1.75350522651408,1.37116920912574
United Kingdom,45404.5677734722,41499.5557033073,40857.7555829627,43646.9519711493,43070.4983595888,1.81266163797693,1.4913642994284,1.44292936752505,1.03685521942496,1.0999959123708
Georgia,4014.18594419329,4062.16988757379,4357.00093554628,4722.78778321766,4697.98365238984,2.86009424289855,2.84490205450567,4.82856985509574,4.88385492937473,5.16261881694761
Ghana,1774.07477092508,1971.95693464599,2074.29073272269,2260.86056729337,2246.62557816432,-0.170049024853114,1.07696052085518,5.75434851659537,3.89661430974051,4.22918126352458
Gibraltar,,,,,,,,,,
Guinea,769.255475432822,732.291511901662,855.575270552124,955.111281136711,1058.14336817356,1.27274453676185,7.92853485004899,7.29211181459284,3.38751521788826,2.69338419991574
"Gambia, The",660.723571244322,690.780493152792,679.75507172296,732.720727318856,772.045914215139,0.973886803537113,-1.05801863935166,1.75610362012779,4.12181776319187,3.09684344959481
Guinea-Bissau,603.399381547733,661.457838679603,738.549944890782,802.767385116156,749.453747028806,3.39863032690428,3.56652184239847,3.27071342766881,-1.21055169342024,1.96420146424497
Equatorial Guinea,11283.3980543871,9250.31649333951,9667.8578009346,10005.6167917268,8419.9333361253,-12.711339203906,-12.3135934211572,-9.16772469815358,-9.6002319632794,-9.23893172984212
Greece,18076.6067552915,17911.7993774946,18536.1907178433,19747.3425837935,19133.7577636254,0.463652786270188,-0.0724245841387301,1.29229029026882,1.87490316346144,1.91089104761153
Grenada,9096.53865246322,9628.2591689029,10152.8328118872,10466.8822111958,10827.4352905074,5.76041123467368,3.11869812221369,3.86313919714306,3.76129237119484,0.238209642532624
Greenland,44536.4013080999,48181.874188064,50765.6956477233,54270.8223055238,53041.303310196,-2.2149188822392,4.54780858066064,0.0776647739674274,2.11671946135704,1.31347118082863
Guatemala,3994.63691288475,4173.30166619474,4454.04814983548,4478.42464550944,4638.63494319511,2.34629514622338,0.989365749396498,1.41564884120322,1.68170693128233,2.25871189837592
Guam,35829.2503598989,36214.0069224538,36601.9198811792,36556.6749110213,38040.5869870588,0.299915104837339,-0.492462435137583,0.0714629202402932,-1.61196506198668,1.60428373280827
Guyana,5576.82585151355,5811.39792362577,6124.95366998759,6145.81927664377,6609.51127954588,0.154585160749249,3.27903020608493,3.21852430987543,3.93302457193192,4.84549740758746
High income,40474.3228062031,41112.5094026206,42754.5642201207,45240.5627531648,45462.3716822454,1.90689061325931,1.24091906190502,1.85908548086387,1.87081876954109,1.35571868408213
"Hong Kong SAR, China",42431.8882817277,43731.1068245299,46165.8565115953,48542.6818699161,48354.473367413,1.51997817135852,1.53864657056957,3.01731597828572,2.02792769150992,-2.41839561224405
Honduras,2286.20303687333,2326.29727827042,2436.6716359867,2492.86896769136,2556.45689068459,2.04738682049835,2.1235809908339,3.08361521753868,2.1281635729176,0.982661679905576
