Country,Happiness_Score_2015,Happiness_Score_2016,Happiness_Score_2017,Happiness_Score_2018,Happiness_Score_2019,Unemployment_Rate_2015,Unemployment_Rate_2016,Unemployment_Rate_2017,Unemployment_Rate_2018,Unemployment_Rate_2019,GDP_Per_Capita_2015,GDP_Per_Capita_2016,GDP_Per_Capita_2017,GDP_Per_Capita_2018,GDP_Per_Capita_2019,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Montenegro,5.192,5.161,5.23699998855591,5.347,5.523,17.54,17.72,16.07,15.17,15.12,6514.27269528653,7028.93657685094,7784.06528996557,8845.91421887296,8910.65083414613,3.33238457780671,2.92545800874741,4.70468752737763,5.10254439807166,4.09623694324546
China,5.14,5.245,5.27299976348877,5.246,5.191,4.63,4.53,4.44,4.28,4.52,8016.43143498003,8094.36336675194,8816.98690451989,9905.34200389253,10143.8381719921,6.42073647723056,6.23821544775225,6.30186310052261,6.25170055569883,5.57453312716906
Zambia,5.129,4.795,4.51399993896484,4.377,4.107,10.13,10.87,11.63,12.01,12.52,1338.29092708188,1280.80654257604,1535.19657398198,1516.36837125728,1305.00103080403,-0.187950012505681,0.706659429492106,0.494085597516801,1.04803356100132,-1.45136446466172
Romania,5.124,5.528,5.82499980926514,5.945,6.07,6.81,5.9,4.93,4.19,3.91,8969.14892146193,9548.58740298268,10807.0091671993,12398.9819787666,12899.3461112897,3.43874923608918,5.30536396716246,7.9415586584485,5.09011110670698,4.73858787008214
Serbia,5.123,5.177,5.39499998092651,5.398,5.603,17.66,15.26,13.48,12.73,10.39,5588.98072768556,5765.20076202711,6292.54362926707,7252.40185773992,7417.20364852201,2.31101588882194,3.88118476026682,2.64598586238259,5.0675948814029,4.89309425558007
Portugal,5.102,5.123,5.19500017166138,5.41,5.693,12.44,11.07,8.87,6.99,6.46,19242.3664710981,19978.401214968,21437.3475036794,23551.0482905614,23330.817288932,2.2144828853083,2.34182321593775,3.75909438887767,3.01412372965098,2.65839260557085
Latvia,5.098,5.56,5.84999990463257,5.933,5.94,9.87,9.64,8.72,7.41,6.31,13780.9135484006,14322.0226779514,15656.3474910518,17856.3071171976,17926.841589919,4.7389479157399,3.30741996501406,4.2327345755706,4.80286694592556,3.19932008209607
Philippines,5.073,5.279,5.42999982833862,5.524,5.631,3.07,2.7,2.55,2.34,2.24,3001.04318170103,3073.65468570946,3123.24564174845,3252.11027410024,3485.3408438977,4.68187850526492,5.54671238464452,5.3966531060456,4.86730872952965,4.68037644699137
Morocco,5.013,5.151,5.2350001335144,5.254,5.208,9.46,9.3,9.24,9.27,9.28,2875.25798516781,2896.72219562665,3035.45443323105,3226.98279356862,3235.00066048238,3.10311140049744,-0.286660319841573,2.90184502007737,1.84461699689066,1.3403970411036
Albania,4.959,4.655,4.64400005340576,4.586,4.719,17.19,15.42,13.62,12.3,11.47,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913,5395.65953185375,2.51682705063622,3.48029321692431,3.89774060579526,4.2763256546607,2.54935857948763
Bosnia and Herzegovina,4.949,5.163,5.18200016021729,5.129,5.386,27.69,25.41,20.53,18.4,15.69,4729.68995905382,4994.97155093444,5394.26894391382,6070.34908129292,6119.76234462222,4.67468789470115,4.46265636890475,4.24050974081906,4.60162519334784,3.5453373948871
Dominican Republic,4.885,5.155,5.23000001907349,5.302,5.425,7.61,7.28,5.83,5.86,6.36,6921.52059432776,7280.88361041225,7609.35327534023,8050.64407623416,8282.11713050921,5.71551877791849,5.4686348954891,3.5180711549784,5.83453748755498,3.95840417453633
Mongolia,4.874,4.907,4.95499992370605,5.125,5.285,4.86,7.24,6.36,5.38,5.44,3875.32167504717,3658.39030030916,3687.10000337811,4156.8469697802,4404.84583020208,0.388463385380476,-0.433679901746515,3.68853378857119,5.82715120700583,3.80294008233133
Greece,4.857,5.033,5.22700023651123,5.358,5.287,24.9,23.54,21.49,19.29,17.31,18076.6067552915,17911.7993774946,18536.1907178433,19747.3425837935,19133.7577636254,0.463652786270188,-0.0724245841387301,1.29229029026882,1.87490316346144,1.91089104761153
Lebanon,4.839,5.129,5.22499990463257,5.358,5.197,9.32,9.78,10.27,10.8,11.35,7663.92023216349,7653.73362998424,7819.60467019649,8058.44433692324,7578.17236808171,-3.60057202482315,-1.16541775606076,-0.771117557655217,-2.27589099867723,-7.1071537327247
Hungary,4.8,5.145,5.32399988174438,5.62,5.758,6.81,5.11,4.16,3.71,3.42,12720.7120220668,13107.3779137744,14623.6966492311,16427.3727611478,16735.6597794761,3.9502169101093,2.49398511598645,4.54613560054244,5.4931633015081,4.60139046418905
Honduras,4.788,4.871,5.18100023269653,5.504,5.86,6.15,6.73,5.53,5.65,5.7,2286.20303687333,2326.29727827042,2436.6716359867,2492.86896769136,2556.45689068459,2.04738682049835,2.1235809908339,3.08361521753868,2.1281635729176,0.982661679905576
Tajikistan,4.786,4.996,5.04099988937378,5.199,5.467,7.55,6.9,6.95,7.01,7.06,978.404981180605,807.10258610434,848.672379903239,853.218873401321,890.544402355733,3.47738299697102,4.31428456351641,4.48656343288916,4.99210090647853,4.86305682399173
Tunisia,4.739,5.045,4.80499982833862,4.592,4.461,15.16,15.56,15.33,15.46,15.13,4094.83628744518,3924.36334591653,3687.77746085503,3680.89259713943,3574.65402418454,-0.054598177447275,0.0082861647566119,1.08617526745563,1.34297688771908,0.278958759643274
Bangladesh,4.694,4.643,4.60799980163574,4.5,4.456,4.37,4.35,4.37,4.41,4.44,1248.45330989613,1401.56463513179,1563.76781861826,1698.13208078712,1855.74009422319,5.36686615945385,5.94667828426267,6.1364783118442,6.73329863316326,7.04528876097589
Ukraine,4.681,4.324,4.09600019454956,4.103,4.332,9.14,9.35,9.5,8.8,8.19,2124.6623187838,2187.73050991433,2638.3260548504,3096.56169661923,3661.45620430228,-9.44383110963591,2.85479785845692,2.810645078612,4.0163856007363,3.79371893400872
Iraq,4.677,4.575,4.49700021743774,4.456,4.437,10.73,10.82,13.02,12.97,12.86,4688.31801743466,4550.65863784829,4985.45287942996,5915.85085369644,5980.6269179797,1.30694378113189,10.5600974554293,-4.28298176305985,0.28170531508249,3.59562006701191
South Africa,4.642,4.459,4.8289999961853,4.724,4.722,25.15,26.54,27.04,26.91,28.47,6259.83968110571,5756.96574098804,6690.93984735096,7005.09541266022,6624.76186493309,-0.218801180743498,-0.806311266588793,-0.265300653069517,0.113021477550987,-1.19609144119572
Ghana,4.633,4.276,4.11999988555908,4.657,4.996,6.81,5.53,4.22,4.28,4.32,1774.07477092508,1971.95693464599,2074.29073272269,2260.86056729337,2246.62557816432,-0.170049024853114,1.07696052085518,5.75434851659537,3.89661430974051,4.22918126352458
Zimbabwe,4.61,4.193,3.875,3.692,3.663,4.78,4.79,4.78,4.8,4.83,1445.06970213198,1464.58895715841,1235.18903192064,1254.64226494434,1316.74065692871,0.100575480569987,-0.793105404843814,3.1924525709815,3.35616607123501,-7.46862686012715
Liberia,4.571,3.622,3.53299999237061,3.495,3.975,2.08,3.08,3.05,3.03,3.02,721.581050523128,740.914906030102,721.085044013216,710.265998419581,672.340499220841,-2.53856279124182,-4.01370872665771,-0.060039735974641,-1.29322546515751,-4.80612732385613
India,4.565,4.404,4.31500005722046,4.19,4.015,5.43,5.42,5.36,5.33,5.27,1605.60544457087,1732.55424231659,1980.66701982802,1996.91508739789,2100.75146060805,6.79675906426532,7.08222758310927,5.66578114880545,5.43307745098798,2.99266440573042
Haiti,4.518,4.028,3.6029999256134,3.582,3.597,13.96,13.93,13.88,13.86,13.91,1386.85419078846,1290.38050812318,1369.06373395137,1479.3458268885,1312.77063606676,1.15736312864287,0.455879683871615,1.18118263013172,0.38072842933046,-2.90574712035101
Nepal,4.514,4.793,4.96199989318848,4.88,4.913,3.1,2.87,3.32,3.19,3.1,901.749607715071,899.523581017634,1048.45375534427,1178.52593245237,1194.95687572575,3.55633538398823,-0.481931971808237,7.5210298922342,5.84871082835983,4.74451271488148
Ethiopia,4.512,4.508,4.46000003814697,4.35,4.286,2.27,2.29,2.3,2.32,2.33,640.541923075422,717.124869806118,768.523015429372,771.524866349431,855.760885186903,7.39146886281171,6.50971203723924,6.68455961774448,4.0539401511658,5.60436973620631
